Title,JobDescription,JobRequirment,RequiredQual,IT
Scriptwriters,"Save the Children is seeking promising Scriptwriters
for a new Children's Television series promoting tolerance building and
critical thinking in interpersonal and community problem solving, as
well as cross-cultural communication skills. The series is designed to
encourage children age five to eleven respect the dignity and worth of
all people and to foster values critical to peace and democracy. The
television series will use traditional puppet characters designed
locally.  
We invite all interested parties to submit sample scripts, in Armenian,
for approximately nine-minute segment that includes not more than four
fantasy characters (puppets). Save the Children will screen all scripts
and choose small group of candidates for an interview in Yerevan. From
these candidates, six will be chosen to become scriptwriters for the
television program. Save the Children will consider signing the Service
Contract with the final candidates. 
Successful scripts will clearly promote:
- Tolerance Building;
- Critical thinking in Conflict Prevention;
- Cross-cultural communication skills;
- Mutual respect and tolerance for other cultures;
- Peaceful solutions for all conflicts.",,"- Working knowledge of English and/or Russian languages;
- Scripts should demonstrate creativity, humor, playfulness and be
child-friendly.",False
Deputy Director,"Women's Environment & Development Organization (WEDO)
has created a new leadership position of Deputy Director. This
individual's primary task will be to assist the Executive Director in
providing overall institutional leadership. In particular, the Deputy
Director will supervise all program areas, play a leadership role in
fundraising and assist and support overall institutional management.","- Program development and management;
- Institutional fundraising;
- Institutional development;
- Administration.","- Minimum of seven to ten years of senior level managerial experience,
including some financial oversight responsibilities, in a nonprofit
organization.
- Excellent interpersonal skills and demonstrated capacity to build a
team-based approach to program management, including mentoring of
program staff.
- Work experience in Africa, Asia, Latin America or an international
advocacy organization. Experience in collaborating with international
and regional activist and advocacy groups preferred.
- Expertise in the field of international women's rights, preferably
with some knowledge and experience in one or more of the global issue
areas of economic justice, governance or sustainable development.
- Demonstrated track record in mobilizing resources from foundations,
international agencies and other sources. Experience with grant writing
is highly preferred.
- Excellent written and verbal communication skills in English and
ability to represent the organization at a senior level in national and
international arenas. Fluency in other languages is an asset. 
- Outstanding planning, management and administration skills.
- Law degree or master degree in a relevant field in the social
sciences, public policy or management (or related area).",False
Expatriate Microfinance Consultant,"Horus Banque et Finance seeks an expatriate
Microfinance Consultant for a new Micro-finance Institution in
Tadjikistan. S/he will participate in the development of a microfinance
institution.","Answering to the CEO, s/he will be in charge of
human resources: selection, training and follow up of the loan officers
and will be responsible for the development of microfinance activities:
development plan definition and implementation including product
definition and branches opening.","- Incumbent should have the ability to work without strong supervision
as well as to co-operate with multidisciplinary team of experts in a
difficult environment;
- Master in administration/ management;
- Minimum ten years of professional experience;
- Minimum five years of microfinance experience on the field;
- Excellent written and spoken English language skills.",False
Survey Sampling: Methodology and Practice,,,,False
Program Officer,"This full time position starting as of the second week
of April is based in World Vision Armenia's National Office in Yerevan.
Candidates must be flexible team players willing to work in a team of
professionals.","- Prepare concept papers, program proposals, grant requests, and
narrative reports for major international and private donors and World
Vision Support offices;
- Support the Operations Unit in the following areas of program cycle,
including: research, needs assessments, project design, program plans,
proposals, and monitoring and evaluation of development programs in
Armenia;
- Ensure that the timely and well-written program documents and reports
meet donor criteria for provision of funding;
- Support the Operations Director and Operations Unit in establishing
and maintaining ongoing liaison with support offices, NGOs, UN entities,
Government of Armenia, and donor representatives;
- Ensure that the community development initiatives consistently
integrate into the overall framework of WV Armenia programs, with an
emphasis on assistance to children and the most vulnerable population of
Armenia;
- Assist the Operations Director and the operations team in the
preparation of annual operations plan and multi year plans/ strategies.","- Candidates should have at least 3 years of work experience in
community development and experience in the preparation and successful
attainment of major international grants;
- Experience with USAID, CIDA, DFID, etc program design is a plus;
- Must have excellent English writing skills, strong organizational
skills, and knowledge of the program development cycle;
- Candidates must have a University Degree in either international
development, education, sociology and/or related subjects;
- Must have interest and understanding of issues related to poverty,
civic society, health, child and youth development;
- Should have good analytical skills and ability to use both
quantitative and qualitative data in program design;
- Must be able to travel throughout Armenia for about 25% of the working
time;
- We are looking for candidates who have good communication, writing,
and public speaking skills;
- They should have excellent knowledge of the English language, fluent
Armenian and Russian a plus;
- They should have excellent computer skills with proficiency in both
Microsoft Word and Excel;
- Must be creative and innovative;
- Must have the capacity to work under pressure, in teams, and for long
hours, if required.
Candidates must be fully committed to World Vision's Christian basis of
faith and core values.",False
Manager (Traffic/ Account),,"- Work directly with the Director of the company on the one hand and
with the managing staff on the other hand;
- Assist the Director with daily projects management and in projects
planning, oversight, and implementation;
- Work with the foreign companies and partners;
- Deal with the mailings;
- Participate at the exhibitions, different competitions, tenders,
advertising festivals;
- Be ready to take on new responsibilities and accept one for the
mistakes.","- Age: 25 and more;
- Minimum 3 years of related experience;
- Higher education;
- Excellent knowledge of Russian, Armenian and English (verbal &
written);
- Excellent interpersonal, communicational and organizational skills;
- Dynamic personality;
- Computer skills;
- Must be able to prepare commercial offers and deal with different
kinds of quotations;
- Must have the abilities of both traffic and account managers i.e. to
work both with the clients and the personnel, to watch the
implementations of the orders.",False
Grants Manager,"The Counterpart International (CPI) Office in Yerevan
invites applications from highly qualified, energetic and experienced
Armenian professionals for the post of Grants Manager.","Under supervision of the Project Director the
incumbent will perform the following tasks: 
- Advise in the design, development and implementation and program
monitoring and evaluation of grant making authority and grant management
policies;
- Under the guidance of the Project Director design the structure of the
grants program and contracts and related activities under this project,
including potential community grants on education and awareness as well
as technical grants/contracts under the project;
- Provide policy guidance and interpretation for program staff as well
as sub-grantees; 
- Oversee the activities under the grants program and contracts to
ensure compliance with the terms of the grants applications and Scope of
Works (SOW) of the contracts, analyze and evaluate grant applications,
proposals and awards;
- Work with respective specialists to monitor and evaluate the
Intermediary Service Organizations (ISO) activities and impacts under
the grants programs and contracts.","- University degree and/or professional experience in Economics and
Grant Management; 
- Fluency in spoken and written English, Armenian and Russian; 
- Experience working/implementing USAID funded projects; 
- Excellent communication and organizational skills. 
- Advanced computer skills, including Microsoft Word, Excel
(spreadsheet) and Microsoft Outlook programs.",False
Project Assistant,"The Counterpart International (CPI) Office in Yerevan
invites applications from highly qualified, energetic and experienced
Armenian professionals for the post of Project Assistant.","Under supervision of the Project Director the
incumbent will perform the following tasks: 
- Provide administrative support to overall facilitate the
implementation of the project;
- Provide high quality written translations of reports and other
documents/ correspondence from Armenian and Russian into English and
vice versa;
- Act as interpreter for the office staff and other CPI officials as and
when needed, at meetings/ conferences;
- Arrange appointments and draft routine correspondence for the Project
Director;
- Maintain proper electronic and paper filing systems;
- Perform other related duties as requited.","- University degree and/or professional experience in community
development, advocacy or a related field (preferred) 
- Previous experience of working for international organizations; 
- Personal initiative as well as ability and willing to work as a team
member; 
- Excellent English, Armenian and Russian language skills (written and
oral);
- A practical translation/ interpretation experience with legal
terminology will be an asset;
- Excellent interpersonal and communication skills, strong
organizational and time management skills are a must;
- Advanced computer skills, including Microsoft Word, Excel
(spreadsheet) and Microsoft Outlook programs.",False
Finance Manager/Accountant,"The Counterpart International (CPI) Office in Yerevan
invites applications from highly qualified, energetic and experienced
Armenian professionals for the post of Finance Manager/Accountant.","Under supervision of the Project Director the
incumbent will perform the following tasks: 
- Oversee and manage all financial aspects of the program, in
coordination with the Project Director and Counterpart\'s US-based
Finance and Administration division;
- Prepare budget and implement financial tracking and reporting to
oversee procurement and sub-grant; 
- Provide strict fiscal accountability through regular monitoring of
program expenditures and costs, including grantees and consultants;
- Prepare monthly financial statements and cash requests for timely
submission to Counterpart Headquarters;","- University degree in Finance, Economics or Accounting; 
- Formal education in western accounting practices and systems; 
- Demonstrated facility with computer software especially MS-Office,
Quicken, and    
Quick Books Pro; 
- Fluency in spoken and written English and proficiency in spoken
Armenian and or/Russian; 
- Experience working on USAID-funded projects and implementing projects;
- Experience in small grants administration and budget preparation and
implementation; and 
- Excellent communication and organizational skills; 
- Advanced computer skills, including Microsoft Word, Excel
(spreadsheet) and Microsoft Outlook programs.",False
Artist - Designer,"Antares Media Holding is looking for an experienced
Artist - Designer.","- Work directly with the Director of the company on the one hand and
with the managing staff on the other hand;
- Deal with the pre-press processes (be familiar with the film output
processes);
- Participate at the exhibitions, different competitions, tenders,
advertising festivals.","- Specialized higher education;
- At least 3 years experience in a similar organization;
- Perfect knowledge of the following programs: Corel Draw, Adobe
Photoshop, Illustrator and Quark Xpress;
- Ability to work under pressure and in multi-task environment;
- Ability to work in a team while being self-directed and highly
motivated.",False
"Secretary, FSN-5; FP-9*","Performs secretary/receptionist duties; maintains
central filing system for office use; types and arranges delivery of
official correspondence. Maintains PAO's calendar. Prepares and
maintains general correspondence. Maintains records of leave and
attendance. Provides translations from/to English, Armenian and Russian.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61",,"NOTE: All applicants are instructed to
address each selection criterion detailed below with specific and
comprehensive information supporting each criteria.
- Completion of secondary school required;
- Two years of clerical experience;
- Level IV (fluent) in English, Armenian and Russian;
- Must have basic computer skills. 
SELECTION PROCESS:   When equally qualified, Eligible Family Members and
U.S. Veterans will be given preference. Therefore, it is essential that
all candidates address the required qualifications above in the
application. 
ADDITIONAL SELECTION CRITERIA: 
1. Management will consider nepotism/ conflict of interest, budget, and
visa status in determining successful candidacy.
2. Current employees serving a probationary period are not eligible to
apply.
3. Currently employed AEFMs who hold a FMA appointment are ineligible to
apply for advertised positions within the first 90 calendar days of
their employment.  
REMUNERATION:  *Not-Ordinarily Resident: Grade: FP-09 to be confirmed by
Washington
*Ordinarily Resident: Position Grade: FSN-5",False
Interviewers for Market Research (6 positions) - Short term,"Interviewers will be responsible for collecting
baseline information about MDF-Kamurj client satisfaction by its current
products and services, as well as about the loan demand in rural areas.
A training session will be conducted before the actual start of the
interviews.","Duties will include interviewing people
(face-to-face interviews based on detailed questionnaire) and recording
their responses.","- Experience in conducting market research or sociological surveys;
- Ability to work in rural areas;
- Ability to work independently and as a team member. 
Interviewers should be available for the initial training in Yerevan on
06 April ( at 10:00 - 18:00) and for 4-5 day interviews starting 12
April 2004. Each interviewer will conduct around 10-15 interviews daily.
Applicants must be prepared to do some evening and weekend work when
needed. Transportation, food and accommodation will be provided by
MDF-Kamurj.",False
Information Education Communication (IEC) Assistant,"Medecins Sans Frontieres - Belgium is seeking an IEC
Assistant in the frame of Mental Health project implemented in
Gegharkunik Marz.","- To support the IEC in the implementation of the first phase of the
communication plan, to provide ideas and to consider the practical
implications;
- To be a bridge between the Communication Officer in Yerevan and the
IEC in Sevan for the practical follow-up of materials;
- To support local staff in their communication tasks, like the
presentations at schools or the delivery of leaflets;
- To pre-test materials with the target groups;
- To conduct follow-up research after the delivery of materials or the
organisation of activities;
- To be responsible for the practical organisation of events and
activities.","- Higher education in Social Sciences;
- Presentation and communication skills;
- Knowledge of social marketing;
- Must be energetic and dynamic;
- Self-organisational skills;
- Ability to work in the field of mental health;
- Excellent language skills in Armenian and English;
- Computer literacy;
- Affiliation with humanitarian action;
- Previous media and NGO experiences are advantages;
- Flexibility and readiness to travel frequently within the regions;
- Availability to be based in Sevan during weekdays.",False
Refurbish center manager,"We are seeking Refurbish center manager with the
proven ability to organize and run the department. He will work in close
cooperation with the Company Executive Director and will report directly
to him.","- Management and organization of the department works;
- Segregate duties (works) among employees and supervise the
implementation process;
- Get acquainted with technical tasks and suggest the solution of
technical obstacles related to repair process;
- Follow and supervise the recording of goods turnover through database;
- Provide the in-time performance of received orders;
- Arranging and conducting interviews with applicants for the required
position;
- Maintenance of technical training with personnel;
- Working out of recommendations related to technical issues and
services.","- University degree either in electronics, radio-physics or related
fields;
- At least 2 years progressive management experience;
- Excellent organizational and communication skills; 
- Proven leadership skills and experience. The ideal candidate will be
an aggressive self-starter with experience working in busy environments;
- Must be fluent in Russian and Armenian both written and spoken
(knowledge of English will be an asset).",False
Manager,"The Global Village Energy Partnership (GVEP), a Type
II Partnership launched at the World Summit on Sustainable Development
(WSSD), is seeking a full-time Manager for the GVEP Technical
Secretariat and broader Partnership. This individual will have lead
responsibility for management and operation of the GVEP Technical
Secretariat and will report to the GVEP Board of Directors.","- Provide strategic planning and guidance support for Technical
secretariat activities and the broader Partnership. 
- Oversee administrative, staffing, finance, reporting, contracting and
management issues related to Technical Secretariat operations. 
- Develop and successfully implement the Technical Secretariat work
program, including budget management, reporting and quality control.
Also, oversee distributed GVEP service line leads (action planning,
capacity development, financing facilitation, knowledge management, and
monitoring and evaluation) in the delivery of the work program. 
- Develop and maintain partner relations. Serve as a source of technical
guidance, support and quality assurance for partner-managed projects,
programs and activities. 
- Lead resource mobilization and fund raising efforts for the Technical
Secretariat and broader partner activities, and maintain strong donor
relations. 
- Provide global networking and outreach on GVEP programs, plans and
activities, and facilitate linkages between energy and other sectors
(agriculture, health, water, telecommunications, small industry, etc). 
- Ensure implementation of decisions made by the GVEP Executive Board. 
- Oversee coordination with other related WSSD Type 2 partnerships.","- At least 10 years experience in energy-development issues in
developing countries, particularly Africa, Asia, and/or Latin America. 
- Advanced degree in business and/or public administration, economics,
finance, engineering or related degree. 
- Demonstrated experience in program and project management, strategic
planning, resource mobilization and fund raising. 
- Strong client orientation, including experience in working with a
range of Government, civil society and donor counterparts. 
- Excellent written and verbal communications skills; ability to
communicate ideas effectively and to write quickly and clearly. 
- English speaker, with language proficiencies in Spanish and/or French
desirable. 
- Willingness to relocate for this position and to conduct foreign
travel. 
- Strong interpersonal skills and demonstrated track record in working
in a team setting; ability to balance multiple priorities and deadlines.
- Ability to enhance the quality of Partnership products through early
guidance, constructive feedback, encouraging innovation, and
establishing links with other networks and partners.",False
European Team Leader for Health Care Reform Project,"The Helsinki Consulting Group is seeking for a
European Team Leader with strong implementation experience of health
reform programmes in developing but especially in middle income
countries, and with extensive project management experience.",,"- University degree in social or health policy, health economics and/or
public health;
- Supervisory and co-ordination skills for all technical, administrative
and logistical aspects of the contract;
- Should be a skilled negotiator, combining an ability to communicate
with tact and diplomacy, in an assertive manner Thailand EU TORs - Final
version October 2003 16 -17;
- Sensitivity to Thai culture and customs is an asset;
- Nationality of an EU country General professional experience;
- At least 15 years of professional experience in the health sector in
developing countries, preferably in S.E. Asia combined with relevant
experience in Europe.
- Extensive project and human management experience (he/she will manage
team composed of international and local specialists), preferably as TA
team leader/project director or manager in similar long-term projects;
- Knowledge of the Project Cycle Management (PCM) and the EC Practical
guide, as well as in budget and financial management;
Specific professional experience:
- Specialist expertise of minimum of 5 years in at least one of the
project component areas and mainly in one of the following three: family
medicine/primary health care, financial management and hospital
management;
- Strong implementation experience of health reform programmes in
developing but especially in middle income countries.",False
Communications Manager,,"- Bearing responsibility for strengthening awareness of the Company
products and performance in the media;
- Developing and implementing communication strategies;
- Researching, writing, editing and disseminating news releases;
- Developing and maintaining relations with the news media;
- Organizing meetings, conferences and interviews; providing
translations during public events.","- University degree, preferably in Journalism;
- At least 5 years of Public Relations experience;
- Excellent knowledge of Armenian, Russian and English; knowledge of
French is an asset;
- Excellent knowledge of Mass Media in Armenia and Russia;
- Familiarity with MS Word and MS Excel;
- Outstanding written and verbal communication skills;
- Ability to think and communicate strategically with a variety of
people.
REMUNERATION:  Will be commensurate with the norms accepted in the
company.",False
Technical Security Engineer,"Yerevan Brandy Company seeks qualified candidate to
fill the position of Technical Security Engineer to work in the Risk
Management Department.","- Ensuring safe and healthy environment in the company;
- Warning on the facts that may introduce sources of danger and
undertaking necessary measures;
- Following up implementation and observance of the industrial safety
regulations;
- Checking and controlling the technical state of the equipment;
- Studying the technical conditions and methods of work in production.","- Higher technical education;
- At least 5 years of work experience in the sphere of security,
particularly labor technical security;
- Knowledge of French or English (verbal and written);
- Knowledge of MS Office.
REMUNERATION:  Will be commensurate with the norms accepted in the
company.",False
Translator (general),"Barents Group is looking for a full-time translator
for a long-term project for translation and interpretation into/from
English, Russian, and Armenian.","- Translate commercial, World Trade Organization and/or trade, legal,
and technical documents;
- Interpret at meetings and seminars;
- Prepare materials for conferences/meetings (e.g., handouts, lecture
notes, and slides);
- Proofread and edit materials translated by self and others;
- Log and file documents in an organized manner;
- Work well under pressure and tight deadlines; 
- Coordinate with lead translator and other staff as appropriate.","- University degree in languages is preferred;
- A minimum of three years of relevant experience;
- Familiarity with economic/legal/corporate and technical terminology;
- Strong working knowledge of MS Office, Excel, other applications, and
Internet;
- A strong work ethic and the ability to function in a pressured work
environment; 
- Excellent communication skills; 
- The ability to work on a team.",False
Secretary/ Referent,"Within the area of its specialization BSC seeks
appropriate candidate to fill the Secretary/ Referent's position within
the Company staff.","- Ensures efficient communication and information flow for BSC office;
- Maintains administrative filing;
- Manages logistics;
- Manages the reception area;
- Deals with incoming and outgoing mails;
- Answers incoming phone calls;
- Provides friendly customer service to clients and visitors;
- Provides translation and interpretation (English, Armenian, Russian).","- Higher education;
- Fluent written and oral knowledge of Armenian, knowledge of Russian
and English languages is compulsory;
- Experience in translation and interpretation (English/Armenian,
English/Russian and vise versa);
- Ability to work in team;
- Excellent communication and interpersonal skills;
- Personal initiative and creativity;
- Excellent computer skills: MS Word, Excel (compulsory);
- Deadline-oriented.",False
Administrative Officer,"MDF-Kamurj is currently looking to recruit a full
time Administrative Officer. S/he assists MDF-Kamurj's Yerevan office
and branch offices in Gyumri, Vanadzor, Ijevan and Sisian in developing
and establishing administrative systems.","- Ensures consistency in MDF-Kamurj administration;
- Organizes logistics, communication, receiving and circulating
messages, receiving and dispatching mail, filing office documentation
and correspondence;
- Assists with document and verbal translations/interpretations;
- Conducts regular inventories of assets and consumables, ensures timely
delivery and receipt of documentation;
- Ensures that the MDF-Kamurj communication systems are reliable and
bills are paid on time;
- Supervises the support staff (receptionist, admin assistant, guards,
cleaners, drivers);
- Maintains petty cash operations and organizes timely procurement of
office equipment and supplies.","- At least three year experience in office administration (preferably in
international organizations);
- Excellent communication skills and ability to work well with people;
- Fluency and good writing skills in English are essential;
- Typing and computer skills (Word and Excel);
- Team player.",False
Translator (Telecommunications/ Regulatory/ IT),"Barents Group is looking for a full-time translator
for a long-term project for translation and interpretation into/from
English, Russian, and Armenian.","- Translate technical, IT/Telecommunications related, World Trade
Organization and/or trade, UN documents, legal, business, and technical
documents;
- Interpret at meetings and seminars where technical and international
telecommunications/trade terms will be used;
- Prepare materials for conferences/meetings (e.g., handouts, lecture
notes, and slides);
- Proofread and edit materials translated by self and others;
- Log and file documents in an organized manner;
- Work well under pressure and tight deadlines; 
- Coordinate with lead translator and other staff as appropriate.","- University degree in languages is preferred;
- A minimum of 4 years of relevant experience;
- Strong knowledge of and versatility with economic/legal/corporate and
technical terminology;
- Strong working knowledge of MS Office, Excel, other applications and
Internet;
- A strong work ethic and the ability to function in a pressured work
environment; 
- Excellent communication skills; 
- The ability to work on a team.",False
Junior Business Consultant,"Within the area of its specialization BSC seeks
appropriate candidate to fill the Junior Business Consultant's position
within the Company staff.","Provides consulting services for BSC clients in
the following areas:
- Business plan writing;
- Market research;
- Consumers' preferences surveying;
- Financial planning and forecasting;
- Company strategy developing;
- Feasibility study.","- Relevant higher education in business and management field;
- Relevant experience (minimum 1 year experience in business
consulting);
- Fluent written and oral knowledge of Armenian, Russian and English
languages is compulsory;
- Ability to work in team;
- Excellent communication and interpersonal skills;
- Personal initiative and creativity;
- Excellent computer skills: MS Word, Excel (compulsory);
- Deadline-oriented;
- Willingness to travel.
REMUNERATION:  Starting net salary-USD 100 (with increase potential
depending on performance).",False
Senior Software Developer (several positions),"ZenteX.AM is seeking software developers to fill
positions in its expanding development team. The primary directions are
XML, Web Services, information processing and publishing.","- Designs, develops, implements, tests and writes documentation for
software modules and systems produced by the company;
- Provides technical support via e-mail and Internet to users of the
software products;
- Co-maintains the company's internal development environment.","We expect a successful candidate to be able to
- Design and develop software products;
- Create programs for heterogeneous environments (MS Windows, Unix)
communicating by means of network protocols;
- Author and maintain internal and end-user documentation.
PREFERRED QUALIFICATIONS:  Applicants should have exposure to and
previous experience with
- Programming languages: C, Perl (or Ruby, Python), and Java (or C#);
- Data processing technologies: XML, relational databases.
REMUNERATION:   Competitive",True
Administrative Officer,"MDF-Kamurj is currently looking to recruit a full
time Administrative Officer. S/he assists MDF-Kamurj's Yerevan office
and branch offices in Gyumri, Vanadzor, Ijevan and Sisian in developing
and establishing administrative systems.","- Ensures consistency in MDF-Kamurj administration;
- Organizes logistics, communication, receiving and circulating
messages, receiving and dispatching mail, filing office documentation
and correspondence;
- Assists with document and verbal translations/interpretations;
- Conducts regular inventories of assets and consumables, ensures timely
delivery and receipt of documentation;
- Ensures that the MDF-Kamurj communication systems are reliable and
bills are paid on time;
- Supervises the support staff (receptionist, admin assistant, guards,
cleaners, drivers);
- Maintains petty cash operations and organizes timely procurement of
office equipment and supplies.","- At least three year experience in office administration (preferably in
international organizations);
- Excellent communication skills and ability to work well with people;
- Fluency and good writing skills in English are essential;
- Typing and computer skills (Word and Excel);
- Team player.",False
Secretary/ Referent,"ACRA Credit Bureau seeks female candidate to fill the
Secretary/ Referent's position within the Company staff.","- Ensures efficient communication and information flow for ACRA office;
- Maintains administrative filing;
- Manages logistics;
- Manages the reception area;
- Deals with incoming and outgoing mails;
- Answers incoming phone calls;
- Provides friendly customer service to clients and visitors;
- Provides translation and interpretation (English, Armenian, Russian).","- Higher education;
- Fluent written and oral knowledge of Armenian, Russian and English
languages is compulsory;
- Experience in translation and interpretation (English/Armenian,
English/Russian and vise versa);
- Ability to work in team;
- Excellent communication and interpersonal skills;
- Personal initiative and creativity;
- Excellent computer skills: MS Word, Excel (compulsory);
- Deadline-oriented.",False
Merchandiser,"Derjava-S Company is looking for a Merchandiser who
will be responsible for all merchandising activities of company products
considering company strategies.","- Shelving;
- Distribution of advertising materials;
- Pricing;
- Penetration.","- Hold a minimum high-school degree;
- Experience in merchandising within a highly competitive environment
will be an asset (however it is not a prerequisite);
- Demonstrate good communication and presentation skills;
- Be up to 30 years old;
- Holding a full valid driving license B and C will be an asset
(however it is not a prerequisite).",False
Van-Salesman,"Derjava-S Company is looking for a Van-Salesman who
will be responsible for selling, distributing and merchandising of
company products considering company strategies and also following up
the financial status of the customers.","- Sales;
- Distribution;
- Merchandising;
- Financial follow-up.","- Hold a minimum high-school degree;
- Be sales-driven and result-oriented. Experience in sales within a
highly competitive environment will be an asset (however it is not a
prerequisite);
- Demonstrate good communication and presentation skills;
- Be up to 30 years old;
- Holding a full valid driving license B and C.",False
Technical Writer,"Boomerang Software LLC is currently seeking qualified
candidates for a Technical Writer position. A technical writer is needed
to write various documentation relating to Boomerang Softwares
products, including user reference manuals and online help descriptions.",,"The minimum educational requirement is a BA
degree or equivalent degree in a related field of expertise;
 Candidates must be fluent in English, must have strong English writing
skills, and should have extensive English writing experience;
 Candidates should have a good working knowledge of the Internet and be
proficient in using Microsoft Windows and related programs;
 Candidates should also be able to type at least 50 words per minute;
 The person should have an analytical mind, be able to work
independently, and be willing to excel in a teamwork-based environment;
 Knowledge of HTML and basic Web page construction is required.
Experience with Adobe PageMaker or other desktop publishing programs as
well as with Web design is preferred.",False
Secretary / office helper,"Secretary office helper, Typing transitions from
English to Armenian, able to speck and understand English, Armenian and
Russian, to answer the phone and make calls, arrange appointments,
answering the door and welcoming in customers.","To take care of the office on there own some
times, work under there own supervision, be self motivated to keeping
the office in good order and file papers correctly. Have good
communication skills with customers by phone and in person.",MS Word & Excel programs,False
Van-Salesman,"Konvekt Company is looking for a Van-Salesman who will
be responsible for selling, distributing and merchandising of company
products considering company strategies and also following up the
financial status of the customers.","- Sales;
- Distribution;
- Merchandising;
- Financial follow-up.","- Hold a minimum high-school degree;
- Be sales-driven and result-oriented. Experience in sales within a
highly competitive environment will be an asset;
- Demonstrate good communication and presentation skills;
- Be up to 30 years old;
- Holding a full valid driving license 'B' and 'C'.",False
Diversity Workshop for Journalists,,,,False
Team Reporting Project for Journalists,,,,False
Team Reporting Project for Journalists,,,,False
Salesmen/ Trade Agents,"Salesmen/ Trade Agents will be distributing &
displaying imported cheweing gum and confectionary products on the
assigned territory with their own cars.","- Achieve assigned outlet coverage targets by creating and executing
efficient routing;
- Achieve distribution targets in assigned territory;
- Achieve display's target in assigned territory;
- Achieve sales volume target in assigned territory.","- Excellent communication skills;
- Team worker;
- 20-35 years old;
- Minimum 1 year driving experience;
- Own car.",False
Van Salesmen/Trade Agents,"Mars LLC is looking for a Van Salesman/Trade Agent for
Confectionery and a Van Salesman/Trade Agent for Pet Food. 100% of
working time in the field.","- Distribution & Display of all Mars products on the assigned
territory.
- Cover 150 outlets.
- Responsible for sales volume about $10.000 - $20.000 per month.
Distributor's associate.
- Achieve assigned outlet coverage targets by creating and executing
efficient routing. 
- Achieve distribution targets in assigned outlets.
- Achieve display's target in assigned outlets.
- Achieve sales volume target in assigned outlets.
- Increase distribution of Mars products on assigned territory.
- Increase number of displays on assigned territory.
- Increase number of directly supplied outlets on assigned territory.
- Increase calls rate.
- Increase average volume per day on assigned territory.","Higher education in Veterinary (for the
candidates of Trade Agents for Pet Food);
- Driver's license. Minimum 1 year of driving experience;
- Product Knowledge;
- Basic selling skills;
- Communication skills.",False
Artist - Designer,"Abt Associates, Inc Representation in Armenia seeks
energetic candidates to fill the full time position of Project Assistant
in USAID funded Armenia Social Transition Program (ASTP). Project
Assistant supports one or more Project Specialists and Site Manager in
carrying out technical project work.","The following functions particularly describe the
basic duties and responsibilities of the position but are not all
inclusive:
- Document project activities, set up and maintain project files;
- Provide information gathering, research and preparing statistics;
- Prepare training materials and participant sign-sheets, and draft
requested reports;
- Make conference logistical arrangements;
- Maintain proper electronic and hard copy filing systems;
- Provide translation and interpretation from/into Armenian and
English;
- Answer phone calls, take messages, register all calls and visits;
communicate schedules, make photocopies for office needs;
- Arrange appointments for the site manager and other staff;
- Coordinate with other staff as necessary;
- Perform other project related duties as assigned by the manager.","- Higher education;
- Minimum 2 years of relevant working experience, preferably in
international projects;
- Advanced computer skills in MS Windows, Word, Excel, E-mail, Internet,
knowledge of PowerPoint and Access will be an asset;
- Ability to prioritize tasks, even when working under pressure in
systematic manner;
- Armenian and English language proficiency is a must, fluency in
Russian is an asset;
- Excellent communication and interpersonal skills;
- Strong organizational and time-management skills;
- Ability to work both in a team and independently.",False
ADP Managers /RE- ANNOUNCEMENT/,"World Vision Armenia advertises for positions of Area
Development Programs (ADP) Managers for Lori and Gegharkunik regions.
World Vision Armenia encourages strong, experienced and inspired
managers in the area of civil society and community empowerment to apply
for either of these positions (work bases are in Lori Marz and
Gegharkunik Marz respectively) that will provide leadership and
oversight to the design, development and integration of the
community-based multi-sectoral initiatives in the area development
program (ADP) in Lori and Gegharkunik regions.",,"A successful candidate for the ADP Manager
position will demonstrate the following qualifications and competencies:
- Proven strong leadership, management and organizational skills;
- Ability to manage multiple tasks and work under pressure;
- Proven community and development management experience;
- Strong skills in project design, implementation, monitoring,
evaluation and report writing;
- Proven knowledge/experience of working in the regions of Armenia;
- Understanding of financial accountability, and budgeting skills;
Familiarity with grant management is desirable;
- Experience with international NGOs or other similar organizations;
- Good interpersonal skills and cross-cultural sensitivity;
- Ability to establish and maintain relationship with local and
international partners;
- Team player attitude;
- Efficiency in written and oral communication in English and Armenian;
Knowledge of Russian is a plus; 
- Strong computer skills including: Microsoft Word, Excel, and Power
Point;
- Willingness to be flexible with work hours when necessary as well as
ability to travel locally up to 40% of the time;
- Understanding of and commitment to World Vision core values.",False
Driver,"This full time position starting in April 2004 is
based out at World Vision Armenias National Office in Yerevan MMT
project. Candidates must be flexible team players willing to work in a
team of professionals.","- Drive WV Armenia vehicle carefully providing the car logistical
reports to the supervisor on a monthly basis. 
- Keep WV Armenia  vehicles in good condition, take full responsibility
for their maintenance and security according to the Vehicle Use and
Maintenance Policy of WV Armenia.
- Provide WV Armenia with logistical support.
- Assist the Administrative Department in other tasks and assignments as
needed.","- The successful candidate will possess valid driving license category
B, proven driving experience of at least 5 years, good time management
skills and ability to work under pressure.
- Demonstrates conscientious attitude towards safe driving and car
maintenance. Must be a team player.
- Experience with other international organizations is required.
- Good knowledge of conversational English is preferred.
Candidates must be fully in sympathy with World Visions Christian basis
of faith and core values.",False
